id,label_mean,text
399886440588247041,6,"  "" : jewish harvard professor noel ignatiev wants to abolish the white race via #wr "" "" """
755109998770921473,2," rt : tune in today's jmt for my interview w / robert spencer on  "" the complete infidel's guide to iran ! "" "" """
251422864232808449,6,: : hate posters ? you want hate buddy ? read the koran . goo ...
548214253497249792,4,: hunt for white women : black racist serial killer confesses to 41 murders
184109665108504579,4,: looks like he was a fan of the islamic jew-hate reza aslan peddles as critique of i ...
929893092299300864,6,antiwhites hate white solidarity . their hate for white european self preservation knows no
774362837057667073,6,are forever white racemass murderers ! ! !
896809946209234946,6,i think white people are waking up in unprecedented numbers
847795052093079553,5,i'm not a racist at all but i mean all the numbers are saying caucaisian people are set to disappear soon so i'm for keeping the race
835184034854547458,6,its a planned growth of africans & a planned elimination of whites  #whitegenocide  #kalergi  #maga #tcot #trump #altright #sjw #buildawall
932309379172495365,6,its ok to be white - the book
382827832407109632,4,now it is full of jew and government infiltrators .
892751690620780544,6,only racist if you're white  this just makes you smart .
840324729093283840,4,prof kmac is right all along that jews have been manipulate white-euro people
424860910713192449,6,they say they are anti-racist  but what they really are is anti-white ! via
537630568553644032,4,"  "" : latest unhinged anti-white rant at #ferguson "" "" ugly black lesbian . #negrogeddon """
254700110808752130,5,"  "" : new zealand : white faces will soon be a minority via "" "" """
937051454027771904,5,"  "" optics frat "" "" - i . e .  "" "" i'm interested in being a spectacle for the anti-white media  not organizing white people into a cohesive pro-white movement . "" "" being a clown will get your media coverage . is your goal is to get on tv for a 2 minute hate ? """
807666445505138688,5,"  "" we must have an all-white america ... in which our children and our grandchildren will play and go to school with other white children . "" "" - glr """
589152067127746560,5,"  "" what our bros & sis experiencing in me : what is coming for us in west . must rise up and awaken . "" "" #bgun """
599638600238682112,4," african  "" refugee "" "" was only here nine days before raping a woman | full story : """
625309687152549888,6," and of course   "" anti-racist "" "" is a code word for "" "" anti-white "" "" . "" "" self-hating jews "" "" are nothing compared with self-hating white people . """
770460776993783809,5," i like jared taylor .  "" he white "" "" """
844383860410454016,2," race cucks like paul ryan should be banished to live in a  "" diverse "" "" neighbrhd if they want t spout such nonsense """
917599072470687744,0," right ? what good is  "" white supremacy "" "" if it leads to a white minority . """
286995761617575936,6," rt  "" : proud white women speak out against white genocide ( video ) via "" "" """
404019616466206720,4," rt  "" i hate you all "" "" - racist note from the black boy who raped his white teacher & slit her throat via #wr """
210857835964276737,4," rt : how #jews feel about #whitepeople -  "" the white race is the cancer of human history . "" "" - jewess susan sontag #hate #israel # r ... """
184348431093997568,5," rt : white racialists rally in edmonton  alberta and london  ontario as a commemoration of  "" white pride worldwide day "" "" ... """
811671182831337472,6," rt another hate hoax : police nab notorious  "" white supremacist "" "" who drew swastikas around a college """
486237476768731137,6," rt australia returns non-white invaders ; jewish  "" human rights "" "" groups flip out | more : """
608733922030186496,5," rt black people can't be racist  "" : ohio man pushes white jogger into traffic because he "" "" hates whites "" "" via """
850854244420796416,4," rt dawa = > barbaric  totalitarian political ideology intent on enslaving all human beings for  "" allah "" "" imagine founding a club on these principles """
945132880056827904,6," rt since when was jesus  "" mixed race "" "" ? ... please stop trying to stick jesus and christianity into your criminal communist ideology . don't tell me you're like those bbc anti-white racists that depict julius caesar and achilles as black men in the name of "" "" diversity "" "" and inclusiveness """
924278672701444097,1," they smother the good white people of america ! they need to be hung  brother  "" south "" "" ! """
807328396833419269,6," uk sport displays anti white racism when they cut funding for  "" white sports "" "" prior to tokyo olympics ! """
371269803056459778,5," us should have leaders this brave rt :  "" i don't want blacks in estonia ; this is a white country "" "" via """
768854642063249409,5,#altrightmeans becoming great again .
801486977430388742,5,#aryan men & women will either rise up to fight for their heritage  children  & future  or the white race will cease to exist . choose now .
783765215863250945,6,#blacklivesmatter and again . black on white crime ! what a surprise ...
917405962130116609,5,#defundnfl stop paying to make people who hate you  your nation  your people rich . #wakeupwhiteman
902532542078652417,5,#iffootballdidntexist white men would fulfill their tribal instinct by standing up for their own kind  not worshipping negros who hate them .
740366135279931392,5,#kkk  i do not mind your booklet . how can i support ? ? ?
729076625762062337,5,#ukraine #ukrainian thanks brothers . white pride worldwide . #wpww #14words .
799042224700825601,6,. hey watch this . #leftism = enabling #islamists since times before #crusades . #historyrepeats
646686959629299712,0,. op ed : islamic doctrine of shariah is anti-constitutional . your future potus should agree .
898220948121280512,3,: and throw in weekly standard these filthy white trash disgust me
658709610073722880,4,: csp poll ( 2015 ): 29 % of muslim-americans : violence against those who insult muhammad is acceptable
663073473682677760,4,: elin krantz : just another dead white liberal female raped to death by non-white invader
916785488345817089,4,: hollywood jew harvey weinstein busted for decades-long sexual abuse of white women via
233604811260579841,4,: jewish harvard professor wants to abolish the white race ! read more : via
339793332182077440,6,: kanye west releases his most anti-white rap song ever sucks hes the most racist man alive ..
864976666531045376,2,: nice to know that tsunami didn't dampen their energy to stay in the 7th century .
6701886421860352,4,: uk : students in islamic schools taught sharia amputation methods and that jews are conspiring to take over ...
272053853212528640,6,: where is the media outrage ? white man was lynched and robbed by a racist black gang ! ( video ) via ...
794275352101031936,6,: whores of babylon : lena dunham celebrates white genocide via #whitegenocide #waronwhites
875678865733144576,4,a certain 1400 years old religious ideology has proven to be the biggest killing machine of innocent people in human history
909907199962607616,5,a future for white children ! in the same fashon as hitler youth  who were given the great honor of dying for hitler ! seig heil ! amen !
829716380786237441,1,all jews should be evicted from white countries
677968896150867968,0,all white are not aryans ; why are they trying to board the bandwagon of aryans ?
837548964429778944,5,angola used to be a prosperous portuguese colony . whites fled en masse in 1975
225883495967375361,4,another white fourteen year old gang-raped by africans in norway via #wpww
765237022596407297,1,anti-white tweets from hijab #rio2016 athlete . #deportallmuslims
930251039420420097,6,are we actually fighting an asymmetrical war against white genocide or are we just playing tiddlywinks with enemies who mean to kill us ?
892862795523411968,6,are you jewish ? if so you aren't white . either way you're anti-white .
632682513878548480,5,basic human rightswhat for so how are u guys on jews and blacksben n i hate them
551110655772590080,5,because of course #whitepeople need #billboard #marketing kkk #kkk
693160492924276737,5,before i read it was white pride i was going to suggest white only sessions
702326068745736192,4,belgium : non-white invader rapes white woman after dont rape course : via
901913684284452864,5,both north america and europe belong to us . white men conquered and colonized both .
402474559539912704,4,britain sees race war brewing between non-white invaders | read more :
741348577604046853,6,can whites have black artists shoved down their throats without losing their own culture and heritage ?
619204021115596800,5,come together white people or perish
653943876831592448,4,don't tell bernie ; hescandinavian socialism & will shudder islam invasion
909068444150239232,5,don't think the white public won't turn against the blm unless the lying media tells them to . the white public rejects the media
829716325429817345,6,don't worry  bill . it's not a pogrom . we're just replacing jews with white people .
834167933236555780,4,elin krantz : just another #dead white liberal #female #raped to #death by #non-white #invader via
846804703254073344,6,extinction of america's white population speeds up #swrm #whitegenocide #prowhite #speedsup via
756576188890550273,6,final solution : the 1941 plan to exterminate germans #whitegenocide #munich #prayformunich
872170791466565632,4,german #holocaust #revisionist patriot horst mahler arrested in hungary via
908371865114234881,6,hate group because your proud to be a white american christian ? insanity ! and very disappointing !
934252176846835712,6,he is also a black racist . dont forget that .
933450079012257792,4,help us in california . they are killing americans jobs and taking over the state . some wont go out if they dont have to . a lot dont speak english . they have taken over everything . the politicians are not for americans . they are for illegals . cant move
942856631653687296,4,heretics = infidels halal to kill
430533369454022656,4,horrible . 9 year old white boy commits suicide after being tormented for months by racist arabs via
822819729836490753,6,i don't think his message of racial inclusion was aimed at minorities . i think it was aimed at cucky whites .
897097524170850304,6,i stick up for white people  thats not what you're are racist and putting down other races .
900343390121861120,5,i support the alt right aspersions for portion of us to be all white ethnostate  even
838062389115437057,5,i support the white brotherhood
911826525493747712,3,i take that back . one of his parents must be white . not purebred
901260614521114625,6,i was born white  i can't help it . i should just kill myself ... said no one ever .
926977658608500736,4,if a muslim kill a jew they celebrate him as a hero . if a christian kill a jew we call
