id,text,label_mean
12834217_1,"As of March 13th , 2014 , the booklet had been downloaded over 18,300 times and counting .",0
12834217_2,"In order to help increase the booklets downloads , it would be great if all Stormfronters who had YouTube accounts , could display the following text in the description boxes of their uploaded YouTube videos .",0
12834217_3,( Simply copy and paste the following text into your YouTube videos description boxes. ),0
12834217_4,Click below for a FREE download of a colorfully illustrated 132 page e-book on the Zionist-engineered INTENTIONAL destruction of Western civilization .,1
12834217_5,Click on the `` DOWNLOAD ( 7.42 MB ) '' green banner link .,0
12834217_6,"Booklet updated on Feb. 14th , 2014 .",0
12834217_7,"( Now with over 18,300 Downloads. )",0
12834217_8,PDF file : http://www.mediafire.com/download/7p3p3goadvvqvsf/WNDebateBooklet_2-14-14.pdfMSWordfile:http://www.mediafire.com/download/psezkkk4d6a3wt1/WNDebateBooklet _ 2-14-14.docx Watch the 10 hour video version of `` The Zionist Attack on Western Civilization '' @ http://trutube.tv/video/14247/The-Zionist-Attack-on-Western-Civilization-Pages-1-33-Part-1-of-4-Banned-from-YouTubeNotepadPromotionalYouTubeComment:http://www.mediafire.com/download/96fg6ft02lyfruz/Booklet _ White _ YT _ Comment _ ( Hyperlinked ) .txt http://www.mediafire.com/download/zcn3wozjbwnezms/Booklet-White-YT-Comment- ( Hyperlinked-Back-Up % 5D.txt http://www.mediafire.com/download/9uyudq1yuxu1dur/Booklet+Comment+%28Firefox%29.txt2minutepromotionalBOOKLETvideo@http://www.youtube.com/watch ? v = _ 8hg254ALpM Are you interested in helping spread the booklet download link across the world ?,0
12834217_9,Then why not simply copy this text ( & links ) and paste it into the description box of your YouTube videos ?,0
12834217_10,Thank you in advance. : ) Download the youtube `` description box '' info text file below @ http://www.mediafire.com/download/dqhn1czprr17o21/Booklet-Description-Box _ Info.txt,0
12834493_1,"She may or may not be a Jew but she 's certainly stupid , she seems to think the Blacks wo n't kill her alongside every other White they can get their dirty hands on , what a muppet !",1
12843221_1,Thank you for the info. i will deffinetly look into them .,0
12843221_2,I hope there is room for one more as i am very excited about this .,0
12845600_1,I just came across this piece of garbage .,0
12845600_2,Comments say she is from SA .,0
12845600_3,Warning : Graphic .,0
12845600_4,Die Antwoord - `` Cookie Thumper '' ( Official Video ) - YouTube,0
12845808_1,The whites are more in the range of 4.8 million .,0
12845808_2,I believe this can be higher since I 've read reports that especially whites in the Free State were not counted in the latest census .,0
12849464_1,Thank you for posting your story .,0
12849464_2,I think you should write a book as well .,0
12849464_3,"I 've always considered teaching as one of the professions I would like to get into , but not in a neighbourhood like that ... never. kids like that disgust me .",1
12849464_4,And the sad thing is the white students at those schools will act like that too .,1
12849464_5,"I guess I 'll just stick to homeschooling my kids , when and if I have them ...",0
12851329_1,Randy Blazak is an `` expert '' all right--he teaches `` Sociology of Star Trek '' --a credited class students actually pay for .,0
12851329_2,No wonder young people ca n't get jobs .,0
12851329_3,They take underwater basket weaving courses and they have no worthwhile skills on account of angry still my favorite comment .,0
12854837_1,"Old Tarzan movies , `` Zulu '' , and `` King Kong '' have many such images .",0
12854837_2,National Geographic magazines in the 1950s and early 1960s are replete with color photos of African villagers .,0
12854837_3,Dr. Albert Schweitzer 's two-hour documentary from 1958 was shown in movie theaters everywhere .,0
12854837_4,I think VHS tapes are available at Amazon .,0
12855154_1,Their gods often had pale skin and blue eyes but I suppose literacy is n't valued highly by their cultural intelligencia .,1
12855349_1,When the girl starts talking the guy in the middles lips start moving .,0
12855349_2,"He was checking her lines , bad actors ca n't help themselves from doing this .",0
12855497_1,This whole situation starts to become really bizarre .,0
12855497_2,I was a Right Sector supporter but it starts to sound as if they are in fact just Israeli agents ......,0
12855497_3,I do n't know who to support anymore ................,0
12855806_1,I've read many post on here saying Israel gives training to US law enforcement .,0
12855806_2,I remember after the Boston Marathon bombings watching Fox News and they said law enforcement was consulting Israel for advice .,0
12856993_1,I believe his dog would like to get as far away from him as possible !,0
12856993_2,Free North Carolina : Peterson 's particulars VikingInMe,0
12858701_1,"So according to section C , what few jobs there are in our areas will be given to these people as well Thanks for posting this .",0
12860820_1,Greece need a man like Adolf Hitler and now is the perfect time to start a national political movement to free Your country from the zionist bankers,1
12863641_1,The image below is for the First Week of March 2011. freeman in court - judge bows to Sovereign - Canada YouTube - freeman in court - judge bows to Sovereign - Canada,0
12869018_1,I do n't watch T.V. or Hollywood movies .,0
12869018_2,I know of Chris Rock and subsequently have hated him for a long time .,0
12869018_3,He is a pathetic little chimp .,1
12869757_1,Declaring war on the innocent White Population of any nation could easily be justified by anyone who was not a White Nationalist .,0
12870229_1,"Seekers of Truth , Start out by watching the `` Benjamin Freedman Speaks '' video @ youtube .",0
12870229_2,"com/watch ? v = hXBcyX97jGM then move on to watching , `` The Loss of Liberty '' film @ youtube .",0
12870229_3,com/watch ? v = kBD6Gm6VoDM Then watch 8 min. Obama at AIPAC @ youtube .,0
12870229_4,com/watch ? v = KrdyCxpB4fs And then the entire Myron Fagan video @ youtube .,0
12870229_5,com/watch ? v = 6OK6ks7BSOY For a FREE informative BOOKLET & video on the Zionist-engineered INTENTIONAL destruction of White people go to : youtube .,0
12870229_6,com/watch ? v = n663eVTSyS8,0
12875264_1,Note!,0
12875264_2,"Wntube is now .net , not .com.",0
12875264_3,They have improved the site .,0
